alt_name:he, 1
description:he, 1
facilitated_services, 1
laundry_service, 1
survey_date, 1
government, 1
water_source, 1
addr:block, 1
addr:block:en, 1
addr:city:en, 1
addr:district:en, 1
addr:province:en, 1
addr:street:en, 1
addr:subdistrict:en, 1
payment:Efectivo, 1
description:zh, 1
source:natural, 1
phone2, 1
dispensing, 1
payment:swish, 1
payment:as24, 1
population, 1
population:date, 1
source:population, 1
service:bicycle:retail, 1
ref:caclr, 1
addr:comment, 1
end_date, 1
note:de, 1
food, 1
project:opencities_abidjan, 1
leisure1, 1
strapline, 1
status, 1
link, 1
salon, 1
note:addr, 1
payment:mobile_pay, 1
pets, 1
note:es, 1
maxstay, 1
telegram, 1
plot_number, 1
count, 1
informal, 1
massgis:TOWN_ID, 1
service_times, 1
payment:vipps, 1
website:booking, 1
payment:care_credit, 1
payment:cherry_financing, 1
payment:patient_fi, 1
fixme:type, 1
gender_segregated, 1
